Model,MSE,RMSE,R2,MAE
Linear Regression,6029.2859489694965,77.64847679748455,0.02016942226542673,21.969778927489475
Ridge Regression,6029.294152665406,77.64852962333161,0.020168089067404527,21.96956874512184
Lasso Regression,6056.189702511271,77.82152467351993,0.01579724277366268,21.643274539538165
ElasticNet,6068.585068479801,77.90112366634901,0.013782848581552432,21.45093582623553
Decision Tree,87.1505411896521,9.335445419992134,0.98583700195239,1.2452143237486688
Random Forest,130.3415465242965,11.416722232072413,0.9788179505973593,1.6156713391906263
Extra Trees,27.008667856615578,5.196986420668768,0.9956107706859861,1.0598194555378055
Gradient Boosting,651.1879858329191,25.51838525128342,0.894174218013074,11.727046590150985
AdaBoost,2302.2898920265243,47.9821830685779,0.6258505477912555,35.36243346922897
Support Vector Regressor,6342.253032162318,79.63826361845365,-0.03069144592562978,14.848717790178108
K-Nearest Neighbors,18.36584249201278,4.285538763331021,0.997015332460288,0.8264057507987217
XGBoost,293.0646097815964,17.119129936465708,0.9523735201238982,2.4918041201240677
